"Holder Address","Quantity","Used Warden Router","Used TxHash"
"0x4f39feb5f40e8e4890c24ed0e1ce9c2dcb77e4e2",4,"true", https://optimistic.etherscan.io/tx/0x1e9b9df600d5ac96ab0c234bc3f7c856a4e29a5b0634379e34c24eb74698b7f6
"0x5bcba3ae2af1a4945a3c30b0c4bd574b1eb1e978",4,"true", https://optimistic.etherscan.io/tx/0xa2d7db8b52eb484a6aae499554d418b7af1c04e3d4260a517117297c6aa81b4b
"0x611471bc56a47c85aa4f16b109cb2a2d0be6854d",4,"false", null
"0x6c4355614908f9f0fb19285d5d2b4afaed6579f3",4,"false", null
"0x97e5888847e30bfd8ceba3873e839ad8fae72f89",4,"false", null
"0xad7daa3adb8370d014c92aafa19c47c68c054965",4,"false", null
"0xb53715f3c61be4931843ffe0b61897194c6e4cb9",4,"false", null
"0xb5594d555c7c8de03d9e77e53048b96b41bfaed8",4,"false", null
"0xb86e782103fa6ca36bf2d910fa3c4f5dc5f64feb",4,"false", null
"0xc31bf7f3b185d5766b343e71adee432f4a58da39",4,"false", null
"0xe74f9211016af21ad247973c371f0cfc2f5a7d5b",4,"false", null
"0x02b83b235f20830475879a9fd391764c4c28627b",3,"true", https://optimistic.etherscan.io/tx/0x6848f0966b548ad84f250a65ee073913b5807bb135802a084ff1500cc4894567
"0x05bdd8de3aace83c896796ecbe1342ad43315963",3,"false", null
"0x0898e37e24e089e98db7722a4ca97251d3278469",3,"false", null
"0x0bf14c33f57cd5883652c1c03892401f7ab4c0a8",3,"false", null
"0x0bf1fee0f3dbb4031e4c12e2985df93f267d53ab",3,"false", null
"0x0c580360bb545169b47801f44b47f9c53c67372f",3,"false", null
"0x11d6af24c168a9a131747b50cf478832e258656a",3,"false", null
"0x1f341d0e5306cb2945c1634601e3608973ef9859",3,"false", null
"0x21bf63c0418d4f1d13f884c50498b2259b321b43",3,"true", https://optimistic.etherscan.io/tx/0x33fb36d3b3f95d32f46589267170d0326b6c9eea588b498b9fb920e0334ca5b6
